
[START] task=easy seed=1
[STEP] step=1 actions=[1, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 1, 'collision_rate': 0.0}
[STEP] step=2 actions=[3, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 2, 'collision_rate': 0.0}
[STEP] step=3 actions=[5, 4] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 3, 'collision_rate': 0.0}
[STEP] step=4 actions=[1, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 4, 'collision_rate': 0.0}
[STEP] step=5 actions=[1, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 5, 'collision_rate': 0.0}
[STEP] step=6 actions=[1, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 6, 'collision_rate': 0.0}
[STEP] step=7 actions=[4, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 7, 'collision_rate': 0.0}
[STEP] step=8 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 8, 'collision_rate': 0.0}
[STEP] step=9 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 9, 'collision_rate': 0.0}
[STEP] step=10 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 10, 'collision_rate': 0.0}
[STEP] step=11 actions=[0, 5] info={'deliveries': 1, 'total_deliveries': 1, 'step_count': 11, 'collision_rate': 0.0}
[STEP] step=12 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 12, 'collision_rate': 0.0}
[STEP] step=13 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 13, 'collision_rate': 0.0}
[STEP] step=14 actions=[0, 1] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 14, 'collision_rate': 0.0}
[STEP] step=15 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 15, 'collision_rate': 0.0}
[STEP] step=16 actions=[0, 1] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 16, 'collision_rate': 0.0}
[STEP] step=17 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 17, 'collision_rate': 0.0}
[STEP] step=18 actions=[5, 1] info={'deliveries': 1, 'total_deliveries': 2, 'step_count': 18, 'collision_rate': 0.0}
[STEP] step=19 actions=[1, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 19, 'collision_rate': 0.0}
[STEP] step=20 actions=[2, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 20, 'collision_rate': 0.0}
[STEP] step=21 actions=[2, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 21, 'collision_rate': 0.0}
[STEP] step=22 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 22, 'collision_rate': 0.0}
[STEP] step=23 actions=[1, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 23, 'collision_rate': 0.0}
[STEP] step=24 actions=[1, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 24, 'collision_rate': 0.0}
[STEP] step=25 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 25, 'collision_rate': 0.0}
[STEP] step=26 actions=[0, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 26, 'collision_rate': 0.0}
[STEP] step=27 actions=[0, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 27, 'collision_rate': 0.037037037037037035}
[STEP] step=28 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 28, 'collision_rate': 0.07142857142857142}
[STEP] step=29 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 29, 'collision_rate': 0.10344827586206896}
[STEP] step=30 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 30, 'collision_rate': 0.13333333333333333}
[STEP] step=31 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 31, 'collision_rate': 0.16129032258064516}
[STEP] step=32 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 32, 'collision_rate': 0.1875}
[STEP] step=33 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 33, 'collision_rate': 0.21212121212121213}
[STEP] step=34 actions=[1, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 34, 'collision_rate': 0.20588235294117646}
[STEP] step=35 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 35, 'collision_rate': 0.2}
[STEP] step=36 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 36, 'collision_rate': 0.19444444444444445}
[STEP] step=37 actions=[5, 5] info={'deliveries': 1, 'total_deliveries': 3, 'step_count': 37, 'collision_rate': 0.1891891891891892}
[STEP] step=38 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 38, 'collision_rate': 0.18421052631578946}
[STEP] step=39 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 39, 'collision_rate': 0.1794871794871795}
[STEP] step=40 actions=[0, 3] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 40, 'collision_rate': 0.2}
[STEP] step=41 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 41, 'collision_rate': 0.1951219512195122}
[STEP] step=42 actions=[0, 0] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 42, 'collision_rate': 0.21428571428571427}
[STEP] step=43 actions=[6, 6] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 43, 'collision_rate': 0.20930232558139536}
[STEP] step=44 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 44, 'collision_rate': 0.22727272727272727}
[STEP] step=45 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 45, 'collision_rate': 0.2222222222222222}
[STEP] step=46 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 46, 'collision_rate': 0.2391304347826087}
[STEP] step=47 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 47, 'collision_rate': 0.23404255319148937}
[STEP] step=48 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 48, 'collision_rate': 0.25}
[STEP] step=49 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 49, 'collision_rate': 0.24489795918367346}
[STEP] step=50 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 50, 'collision_rate': 0.26}
[STEP] step=51 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 51, 'collision_rate': 0.2549019607843137}
[STEP] step=52 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 52, 'collision_rate': 0.2692307692307692}
[STEP] step=53 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 53, 'collision_rate': 0.2641509433962264}
[STEP] step=54 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 54, 'collision_rate': 0.2777777777777778}
[STEP] step=55 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 55, 'collision_rate': 0.2727272727272727}
[STEP] step=56 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 56, 'collision_rate': 0.2857142857142857}
[STEP] step=57 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 57, 'collision_rate': 0.2807017543859649}
[STEP] step=58 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 58, 'collision_rate': 0.29310344827586204}
[STEP] step=59 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 59, 'collision_rate': 0.288135593220339}
[STEP] step=60 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 60, 'collision_rate': 0.3}
[STEP] step=61 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 61, 'collision_rate': 0.29508196721311475}
[STEP] step=62 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 62, 'collision_rate': 0.3064516129032258}
[STEP] step=63 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 63, 'collision_rate': 0.30158730158730157}
[STEP] step=64 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 64, 'collision_rate': 0.3125}
[STEP] step=65 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 65, 'collision_rate': 0.3076923076923077}
[STEP] step=66 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 66, 'collision_rate': 0.3181818181818182}
[STEP] step=67 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 67, 'collision_rate': 0.31343283582089554}
[STEP] step=68 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 68, 'collision_rate': 0.3235294117647059}
