Initial Pos: [(2, 1), (4, 5)] | Goal: (0, 4)
Step 01 | S0: (4, 1) | S1: (2, 0) | Acts: [1, 1] | Rew: -0.30 | Delivs: 0 | Done: False
Step 02 | S0: (3, 1) | S1: (1, 0) | Acts: [3, 1] | Rew: 0.30 | Delivs: 0 | Done: False
Step 03 | S0: (3, 0) | S1: (0, 0) | Acts: [5, 4] | Rew: -0.10 | Delivs: 0 | Done: False
Step 04 | S0: (3, 0) | S1: (-4, -1) | Acts: [1, 2] | Rew: 0.30 | Delivs: 0 | Done: False
Step 05 | S0: (2, 0) | S1: (-4, 0) | Acts: [1, 0] | Rew: 0.30 | Delivs: 0 | Done: False
Step 06 | S0: (1, 0) | S1: (-4, 0) | Acts: [1, 0] | Rew: 0.30 | Delivs: 0 | Done: False
Step 07 | S0: (0, 0) | S1: (-4, 0) | Acts: [4, 0] | Rew: 10.10 | Delivs: 0 | Done: False
Step 08 | S0: (-4, 2) | S1: (-3, 0) | Acts: [3, 0] | Rew: 0.30 | Delivs: 0 | Done: False
Step 09 | S0: (-4, 1) | S1: (-2, 0) | Acts: [3, 0] | Rew: 0.30 | Delivs: 0 | Done: False
Step 10 | S0: (-4, 0) | S1: (-1, 0) | Acts: [3, 0] | Rew: -0.40 | Delivs: 0 | Done: False
Step 11 | S0: (-4, -1) | S1: (0, 0) | Acts: [0, 5] | Rew: 80.10 | Delivs: 1 | Done: False
Step 12 | S0: (-4, -1) | S1: (4, -4) | Acts: [0, 2] | Rew: 0.30 | Delivs: 1 | Done: False
Step 13 | S0: (-4, -1) | S1: (4, -3) | Acts: [2, 2] | Rew: -0.30 | Delivs: 1 | Done: False
Step 14 | S0: (-4, 0) | S1: (4, -2) | Acts: [0, 1] | Rew: 0.30 | Delivs: 1 | Done: False
Step 15 | S0: (-3, 0) | S1: (4, -2) | Acts: [0, 2] | Rew: 0.30 | Delivs: 1 | Done: False
Step 16 | S0: (-2, 0) | S1: (4, -1) | Acts: [0, 1] | Rew: 0.30 | Delivs: 1 | Done: False
Step 17 | S0: (-1, 0) | S1: (4, -1) | Acts: [0, 2] | Rew: 0.30 | Delivs: 1 | Done: False
Step 18 | S0: (0, 0) | S1: (4, 0) | Acts: [5, 1] | Rew: 80.10 | Delivs: 2 | Done: False
Step 19 | S0: (4, -4) | S1: (4, 0) | Acts: [1, 3] | Rew: -0.40 | Delivs: 2 | Done: False
Step 20 | S0: (4, -4) | S1: (4, -1) | Acts: [2, 1] | Rew: 0.30 | Delivs: 2 | Done: False
